7;29;11;49;19;149;0_0_0
7;29;11;49;19;149;0_0_0
7;29;11;49;19;149;0_0_0
7;29;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;19;149;0_0_0
8;26;9;41;16;114;0_0_0
8;26;9;41;16;114;0_0_0
8;26;9;41;16;114;0_0_0
8;26;9;41;16;114;0_0_0
8;26;9;41;16;114;0_0_0
9;33;9;41;16;114;0_0_0
9;33;9;41;16;114;0_0_0
9;33;9;41;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
9;33;12;72;16;114;0_0_0
11;59;12;72;22;222;0_0_0
11;59;12;72;22;222;0_0_0
11;59;12;72;22;222;0_0_0
11;59;12;72;22;222;0_0_0
11;59;12;72;22;222;0_0_0
11;59;12;72;22;222;0_0_0
11;59;12;72;22;222;0_0_0
11;59;12;72;22;222;0_0_0
11;59;11;57;22;222;0_0_0
11;59;11;57;22;222;0_0_0
11;59;11;57;22;222;0_0_0
11;59;11;57;22;222;0_0_0
11;59;11;57;22;222;0_0_0
11;59;11;57;22;222;0_0_0
11;59;11;57;22;222;0_0_0
29;281;11;57;22;222;0_0_0
29;281;11;57;22;222;0_0_0
29;281;11;57;22;222;0_0_0
29;281;11;57;22;222;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;11;57;17;149;0_0_0
29;281;17;141;17;149;0_0_0
